review_id,canonical_place_id,manual_sentiment_label,split
resto-hotel-v2_000004,place_00056,negative,validation
resto-hotel-v2_000047,place_00071,negative,train
resto-hotel-v2_000095,place_00124,negative,train
resto-hotel-v2_000096,place_00124,neutral,train
resto-hotel-v2_000098,place_00124,positive,train
resto-hotel-v2_000099,place_00124,positive,train
resto-hotel-v2_000106,place_00107,negative,test
resto-hotel-v2_000119,place_00107,negative,test
resto-hotel-v2_000127,place_00107,negative,test
resto-hotel-v2_000128,place_00107,neutral,test
resto-hotel-v2_000136,place_00148,positive,validation
resto-hotel-v2_000138,place_00148,positive,validation
resto-hotel-v2_000141,place_00148,negative,validation
resto-hotel-v2_000144,place_00095,positive,validation
resto-hotel-v2_000153,place_00095,neutral,validation
resto-hotel-v2_000186,place_00189,neutral,train
resto-hotel-v2_000188,place_00189,positive,train
resto-hotel-v2_000189,place_00189,negative,train
resto-hotel-v2_000257,place_00199,negative,train
resto-hotel-v2_000269,place_00261,negative,train
resto-hotel-v2_000281,place_00261,neutral,train
resto-hotel-v2_000303,place_00261,neutral,train
resto-hotel-v2_000327,place_00261,neutral,train
resto-hotel-v2_000352,place_00261,neutral,train
resto-hotel-v2_000389,place_00261,positive,train
resto-hotel-v2_000430,place_00254,negative,train
resto-hotel-v2_000464,place_00101,positive,test
resto-hotel-v2_000578,place_00077,negative,validation
resto-hotel-v2_000659,place_00077,positive,validation
resto-hotel-v2_000678,place_00296,negative,validation
resto-hotel-v2_000681,place_00296,negative,validation
resto-hotel-v2_000688,place_00296,negative,validation
resto-hotel-v2_000692,place_00296,positive,validation
resto-hotel-v2_000694,place_00296,neutral,validation
resto-hotel-v2_000726,place_00296,negative,validation
resto-hotel-v2_000741,place_00127,positive,train
resto-hotel-v2_000779,place_00127,negative,train
resto-hotel-v2_000792,place_00127,neutral,train
resto-hotel-v2_000884,place_00127,negative,train
resto-hotel-v2_001008,place_00129,neutral,validation
resto-hotel-v2_001051,place_00129,positive,validation
resto-hotel-v2_001069,place_00129,positive,validation
resto-hotel-v2_001080,place_00129,positive,validation
resto-hotel-v2_001085,place_00129,positive,validation
resto-hotel-v2_001145,place_00266,positive,train
resto-hotel-v2_001151,place_00266,positive,train
resto-hotel-v2_001165,place_00266,positive,train
resto-hotel-v2_001182,place_00153,negative,train
resto-hotel-v2_001183,place_00153,negative,train
resto-hotel-v2_001265,place_00108,positive,train
resto-hotel-v2_001299,place_00108,neutral,train
resto-hotel-v2_001355,place_00211,positive,train
resto-hotel-v2_001368,place_00098,negative,train
resto-hotel-v2_001372,place_00098,neutral,train
resto-hotel-v2_001395,place_00195,negative,test
resto-hotel-v2_001396,place_00195,negative,test
resto-hotel-v2_001409,place_00195,negative,test
resto-hotel-v2_001419,place_00195,negative,test
resto-hotel-v2_001420,place_00195,negative,test
resto-hotel-v2_001423,place_00195,negative,test
resto-hotel-v2_001425,place_00195,positive,test
resto-hotel-v2_001450,place_00195,positive,test
resto-hotel-v2_001451,place_00195,negative,test
resto-hotel-v2_001485,place_00195,negative,test
resto-hotel-v2_001489,place_00195,negative,test
resto-hotel-v2_001519,place_00195,negative,test
resto-hotel-v2_001587,place_00182,negative,train
resto-hotel-v2_001601,place_00264,positive,train
resto-hotel-v2_001610,place_00264,negative,train
resto-hotel-v2_001611,place_00264,negative,train
resto-hotel-v2_001612,place_00264,negative,train
resto-hotel-v2_001613,place_00264,negative,train
resto-hotel-v2_001614,place_00264,negative,train
resto-hotel-v2_001618,place_00264,negative,train
resto-hotel-v2_001652,place_00279,negative,test
resto-hotel-v2_001695,place_00105,positive,validation
resto-hotel-v2_001698,place_00105,negative,validation
resto-hotel-v2_001713,place_00105,neutral,validation
