review_id,canonical_place_id,place_name,place_category,reviewer_rating,review_text_raw,review_text_clean,actual_label,predicted_label,error_type,analysis_tags
resto-hotel-v2_001489,place_00195,Purnama Balige Hotel,hotel,2.0,"Di seprainya masih ada rambut, exhaust kamar mandi mati. Sisanya ok","Di seprainya masih ada rambut, exhaust kamar mandi mati. Sisanya ok",negative,neutral,false_negative_negative_class,GENERAL_MODEL_ERROR
resto-hotel-v2_003719,place_00283,Tepi Danau Bistro,restoran,2.0,40 menit untuk 1 cup cappucino?,40 menit untuk 1 cup cappucino?,negative,positive,false_negative_negative_class,GENERAL_MODEL_ERROR
resto-hotel-v2_004889,place_00078,Damasus Nataboan Resto,restoran,1.0,ikan g mateng,ikan g mateng,negative,positive,false_negative_negative_class,VERY_SHORT_TEXT
resto-hotel-v2_004891,place_00078,Damasus Nataboan Resto,restoran,3.0,"Lebih baik gunakan perahu untuk makan di sini, jangan menggunakan mobil. Jalan sangat sempit.","Lebih baik gunakan perahu untuk makan di sini, jangan menggunakan mobil. Jalan sangat sempit.",negative,positive,false_negative_negative_class,GENERAL_MODEL_ERROR
resto-hotel-v2_007602,place_00185,Pondok Kolding Pangururan.Samosir,restoran,3.0,Mi ayamnya ga enak,Mi ayamnya ga enak,negative,positive,false_negative_negative_class,VERY_SHORT_TEXT|TYPO_OR_INFORMAL_ABBREVIATION
resto-hotel-v2_008660,place_00223,Rumah Makan Elizabeth,restoran,1.0,Gak bagus,Gak bagus,negative,positive,false_negative_negative_class,VERY_SHORT_TEXT|LOW_RATING_WITH_POSITIVE_TEXT
resto-hotel-v2_008904,place_00241,Rumah Makan %22Pondok Karen%22,restoran,1.0,Cocok buat nyabu🤙🖕 ...,Cocok buat nyabu🤙🖕 ...,negative,positive,false_negative_negative_class,VERY_SHORT_TEXT|LOW_PLACE_REVIEW_COUNT
wisata-v2_006066,place_00039,Batu Gantung,wisata,1.0,sangat menyenangkan liburan di sini,sangat menyenangkan liburan di sini,negative,positive,false_negative_negative_class,GENERAL_MODEL_ERROR
wisata-v2_007899,place_00271,Taman Eden 100,wisata,4.0,Pemandangannya bagus namun kurang dirawat.,Pemandangannya bagus namun kurang dirawat.,negative,positive,false_negative_negative_class,MIXED_POSITIVE_NEGATIVE|HIGH_RATING_WITH_NEGATIVE_TEXT
resto-hotel-v2_001425,place_00195,Purnama Balige Hotel,hotel,3.0,Satpam ya ramah dan tegas,Satpam ya ramah dan tegas,positive,negative,false_positive_negative_class,VERY_SHORT_TEXT
resto-hotel-v2_003843,place_00283,Tepi Danau Bistro,restoran,3.0,"Kurang ramah,,,kurang bersih","Kurang ramah,,,kurang bersih",positive,negative,false_positive_negative_class,VERY_SHORT_TEXT|MIXED_POSITIVE_NEGATIVE
resto-hotel-v2_004967,place_00078,Damasus Nataboan Resto,restoran,3.0,"Pas dtg gak bgitu rame jd masih cepat pesananny dtg,,,tp apa krna pelayananny dikit, jadi meja banyak yg belum dibersihkan,klo gak mau didudukin,,, Parkiran agak susah klo rame,, Pesan kelapa jeruk, tp kelapany tua,,jd yg ada air kelapa+jeruk Pas datang dikasih dua jenis sambel yg enak menurut aku... Ikannya udh pasti seger..enak...cuma peaan udang asam manis dan ikan nila,,itu enak...","Pas dtg gak bgitu rame jd masih cepat pesananny dtg,,,tp apa krna pelayananny dikit, jadi meja banyak yg belum dibersihkan,klo gak mau didudukin,,, Parkiran agak susah klo rame,, Pesan kelapa jeruk, tp kelapany tua,,jd yg ada air kelapa+jeruk Pas datang dikasih dua jenis sambel yg enak menurut aku... Ikannya udh pasti seger..enak...cuma peaan udang asam manis dan ikan nila,,itu enak...",positive,negative,false_positive_negative_class,TYPO_OR_INFORMAL_ABBREVIATION
